"STOP_STARTHR","STOP_ORIGPLACE1","STOP_ORIGPLACE2","STOP_ORIGPURP1","STOP_ORIGPURP2","STOP_ORIG_SA1_2016","STOP_DESTPLACE1","STOP_DESTPLACE2","STOP_DESTPURP1","STOP_DESTPURP2","STOP_DESTGEO","STOP_DEST_SA1_2016","STOP_NOONE","STOP_SOMEONEELSE","STOP_PERSON1","STOP_PERSON2","STOP_PERSON3","STOP_SOMEONE","STOP_MAINMODE","STOP_DEPHR","STOP_TRAVTIME","STOP_NETWORK_DIST","STOP_AVESPEED","STOP_DURATION","TRIP_ORIG_SA1_2016","TRIP_ORIGPLACE1","TRIP_ORIGPLACE2","TRIP_ORIGPURP1","TRIP_ORIGPURP2","TRIP_DEST_SA1_2016","TRIP_DESTPLACE1","TRIP_DESTPLACE2","TRIP_DESTPURP1","TRIP_DESTPURP2","TRIP_NETWORK_DIST","TRIP_MORETRIPS","TRIP_DEPHR","TRIP_TRAVTIME","TRIP_WAITTIME","TRIP_DURATION","TRIP_OVERALL_PURPOSE","PERS_PERSNO","PERS_AGEGROUP","PERS_SEX","PERS_RELATIONSHIP","PERS_CARLICENCE","PERS_MBLICENCE","PERS_OTHERLICENCE","PERS_NOLICENCE","PERS_CASUALWORK","PERS_ANYWORK","PERS_STUDYING","PERS_ACTIVITIES","PERS_MAINACT","PERS_WORKARR","PERS_ANZSCO1","PERS_ANZSCO2","PERS_ANZSIC1","PERS_ANZSIC2","PERS_STARTPLACE","PERS_NUMSTOPS","PERS_PERSINC","PERS_ADDITIONALTRAVEL","HH_HHSIZE","HH_VISITORS","HH_HHSTRUCTURE","HH_DWELLTYPE","HH_OWNDWELL","HH_ADULTSBIKES","HH_KIDSBIKES","HH_TOTALBIKES","HH_CARS","HH_FOURWDS","HH_UTES","HH_VANS","HH_TRUCKS","HH_MBIKES","HH_OTHERVEHS","HH_TOTALVEHS","HH_TRAVDOW","HH_HHINC","HH_HOME_SA1_2016","HH_HHWGT14","PERS_ADDITIONALTRAVEL_missing","VEH_PER_PERSON","VEH_PER_ADULT","TIME_PERIOD","DIST_CATEGORY","PERS_MRTDOW_missing","TRIP_SPEED","IS_WEEKEND","HAS_LICENSE_AND_CAR"
6,"My home","Survey Home","At Home","Go home",3125504,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3119100.75,"No","No","Not Present","Not Present","Present","Yes","Vehicle Driver",7,30,34.8600006103516,69.7200012207031,5,3125504,"My home","Survey Home","At Home","Go home",3119107.5,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",34.8600006103516,"Yes",7,30,0,5,5,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Morning_Peak","Very_Long",1,0,0,0
7,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3119101,"My usual workplace","Hardware","Work Related","Own Workplace","Landmark",3128417,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17,30,19.8209991455078,39.6419982910156,550,3119110,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3128417,"My usual workplace","Hardware","Work Related","Own Workplace",19.8209991455078,"Yes",17,30,0,550,7,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Morning_Peak","Long",1,0,0,0
17,"My usual workplace","Hardware","Work Related","Own Workplace",3128417,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3119100.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17,20,19.4360008239746,58.3080024719238,5,3128417,"My usual workplace","Hardware","Work Related","Own Workplace",3119107.5,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",19.4360008239746,"Yes",17,20,0,5,5,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Evening_Peak","Long",1,0,0,0
17,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3119101,"My home","Survey Home","At Home","Go home","Home",3125504,"No","No","Not Present","Not Present","Present","Yes","Vehicle Driver",16.1666666666667,30,35.0099983215332,70.0199966430664,50,3119110,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125504,"My home","Survey Home","At Home","Go home",35.0099983215332,"No",16.5,30,0,30,5,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Evening_Peak","Very_Long",1,0,0,0
5,"My home","Survey Home","At Home","Go home",3125504,"Another place to do work","Another Workplace","Work Related","Employers Business","Intersection",3129108,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",9,55,68.0469970703125,70.7584972381592,200,3125504,"My home","Survey Home","At Home","Go home",3129108,"Another place to do work","Another Workplace","Work Related","Employers Business",68.0469970703125,"Yes",9,55,0,200,7,2,"35->39","Female","Spouse","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Construction","Construction (NEC)","Survey address",3,"$800-999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Off_Peak","Very_Long",1,0,0,0
9,"Another place to do work","Another Workplace","Work Related","Employers Business",3129108,"Another place to do work","Another Workplace","Work Related","Employers Business","Intersection",3128207,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17,20,11.543999671936,34.6319999694824,430,3129108,"Another place to do work","Another Workplace","Work Related","Employers Business",3128207,"Another place to do work","Another Workplace","Work Related","Employers Business",11.543999671936,"Yes",17,20,0,430,7,2,"35->39","Female","Spouse","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Construction","Construction (NEC)","Survey address",3,"$800-999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Midday","Medium",1,0,0,0
17,"Another place to do work","Another Workplace","Work Related","Employers Business",3128207,"My home","Survey Home","At Home","Go home","Home",3125504,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17.1666666666667,80,79.9069976806641,59.930248260498,50,3128207,"Another place to do work","Another Workplace","Work Related","Employers Business",3125504,"My home","Survey Home","At Home","Go home",79.9069976806641,"No",16.6666666666667,80,0,80,7,2,"35->39","Female","Spouse","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Construction","Construction (NEC)","Survey address",3,"$800-999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Evening_Peak","Very_Long",1,0,0,0
6,"My home","Survey Home","At Home","Go home",3125504,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare","Landmark",3119100.75,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",17,30,34.8600006103516,69.7200012207031,610,3125504,"My home","Survey Home","At Home","Go home",3119107.5,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare",34.8600006103516,"Yes",17,30,0,610,9,3,"5->9","Female","Child","No Car Licence","No","No","Yes","No","No","No Study","Childcare/Kindergarten","Childcare/Kindergarten","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",2,"Zero Income","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,1,1,0.666666666666667,"Morning_Peak","Very_Long",1,0,0,0
17,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare",3119101,"My home","Survey Home","At Home","Go home","Home",3125504,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",16.1666666666667,30,35.0099983215332,70.0199966430664,50,3119110,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare",3125504,"My home","Survey Home","At Home","Go home",35.0099983215332,"No",16.5,30,0,30,9,3,"5->9","Female","Child","No Car Licence","No","No","Yes","No","No","No Study","Childcare/Kindergarten","Childcare/Kindergarten","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",2,"Zero Income","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,1,1,0.666666666666667,"Evening_Peak","Very_Long",1,0,0,0
6,"My home","Survey Home","At Home","Go home",3125504,"My usual workplace","My Workplace","Work Related","Own Workplace","Address",3119100.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",10,50,29.1380004882813,34.9656028747559,170,3125504,"My home","Survey Home","At Home","Go home",3119107.5,"My usual workplace","My Workplace","Work Related","Own Workplace",29.1380004882813,"Yes",10,50,0,170,8,1,"65->69","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Fixed Hours","Clerical and Administrative Workers","Office Managers and Program Administrators","Education and Training","Preschool and School Education","Survey address",4,"$1250-1499 p.w.","No",1,0,"Sole Person","Separate House","Owned (Fully or with mortgage)",0,0,0,1,0,0,0,0,0,0,1,"Tuesday",1375,3125504,108.43822,0,1,1,"Morning_Peak","Long",1,0,0,0
10,"My usual workplace","My Workplace","Work Related","Own Workplace",3119101,"A shop","Hardware","Buy Something","Bought something","Landmark",3119100.75,"No","Yes","Not Present","Not Present","Not Present","No","Vehicle Driver",11,5,1.81099998950958,21.7320003509521,40,3119110,"My usual workplace","My Workplace","Work Related","Own Workplace",3119107.5,"A shop","Hardware","Buy Something","Bought something",1.81099998950958,"Yes",11,5,0,40,3,1,"65->69","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Fixed Hours","Clerical and Administrative Workers","Office Managers and Program Administrators","Education and Training","Preschool and School Education","Survey address",4,"$1250-1499 p.w.","No",1,0,"Sole Person","Separate House","Owned (Fully or with mortgage)",0,0,0,1,0,0,0,0,0,0,1,"Tuesday",1375,3125504,108.43822,0,1,1,"Midday","Very_Short",1,0,0,0
11,"A shop","Hardware","Buy Something","Bought something",3119101,"My usual workplace","My Workplace","Work Related","Own Workplace","Address",3119100.75,"No","Yes","Not Present","Not Present","Not Present","No","Vehicle Driver",18,5,1.82000005245209,21.8400020599365,410,3119110,"A shop","Hardware","Buy Something","Bought something",3119107.5,"My usual workplace","My Workplace","Work Related","Own Workplace",1.82000005245209,"Yes",18,5,0,410,7,1,"65->69","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Fixed Hours","Clerical and Administrative Workers","Office Managers and Program Administrators","Education and Training","Preschool and School Education","Survey address",4,"$1250-1499 p.w.","No",1,0,"Sole Person","Separate House","Owned (Fully or with mortgage)",0,0,0,1,0,0,0,0,0,0,1,"Tuesday",1375,3125504,108.43822,0,1,1,"Midday","Very_Short",1,0,0,0
18,"My usual workplace","My Workplace","Work Related","Own Workplace",3119101,"My home","Survey Home","At Home","Go home","Home",3125504,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17.1666666666667,30,29.4050006866455,58.810001373291,50,3119110,"My usual workplace","My Workplace","Work Related","Own Workplace",3125504,"My home","Survey Home","At Home","Go home",29.4050006866455,"No",17.5,30,0,30,8,1,"65->69","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Fixed Hours","Clerical and Administrative Workers","Office Managers and Program Administrators","Education and Training","Preschool and School Education","Survey address",4,"$1250-1499 p.w.","No",1,0,"Sole Person","Separate House","Owned (Fully or with mortgage)",0,0,0,1,0,0,0,0,0,0,1,"Tuesday",1375,3125504,108.43822,0,1,1,"Evening_Peak","Long",1,0,0,0
6,"My home","Survey Home","At Home","Go home",3125504,"Another place to do work","My Workplace","Work Related","Employers Business","Intersection",3130338.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",16,40,45.7869987487793,68.6805038452148,575,3125504,"My home","Survey Home","At Home","Go home",3130327.5,"Another place to do work","My Workplace","Work Related","Employers Business",45.7869987487793,"Yes",16,40,0,575,7,2,"60->64","Male","Spouse","Full Licence","Yes","No","No","Yes","Yes","No Study","No other activity","Casual Work","Something else","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Transport -  Postal and Warehousing","Transport -  Postal and Warehousing (NEC)","Survey address",2,"$600-799 p.w.","No",2,0,"Couple No Kids","Separate House","Owned (Fully or with mortgage)",2,0,2,1,0,2,0,0,0,0,3,"Tuesday",700,3125504,108.43822,0,1.5,0.5,"Morning_Peak","Very_Long",1,0,0,0
16,"Another place to do work","My Workplace","Work Related","Employers Business",3130341,"My home","Survey Home","At Home","Go home","Home",3125504,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",16.1666666666667,50,46.515998840332,55.8191986083984,50,3130326,"Another place to do work","My Workplace","Work Related","Employers Business",3125504,"My home","Survey Home","At Home","Go home",46.515998840332,"No",16.1666666666667,50,0,50,7,2,"60->64","Male","Spouse","Full Licence","Yes","No","No","Yes","Yes","No Study","No other activity","Casual Work","Something else","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Transport -  Postal and Warehousing","Transport -  Postal and Warehousing (NEC)","Survey address",2,"$600-799 p.w.","No",2,0,"Couple No Kids","Separate House","Owned (Fully or with mortgage)",2,0,2,1,0,2,0,0,0,0,3,"Tuesday",700,3125504,108.43822,0,1.5,0.5,"Evening_Peak","Very_Long",1,0,0,0
8,"My home","Survey Home","At Home","Go home",3125508,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3125526,"No","No","Not Present","Not Present","Present","Yes","Vehicle Driver",8,10,9.50899982452393,57.0539970397949,1,3125508,"My home","Survey Home","At Home","Go home",3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",9.50899982452393,"Yes",8,10,0,1,5,1,"40->44","Male","Self","Full Licence","Yes","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Labourers","Other Labourers","Other Services","Other Services (NEC)","Survey address",6,"$1500-1999 p.w.","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Morning_Peak","Medium",1,0,0,0
8,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3125530,"No","No","Not Present","Not Present","Not Present","Yes","Vehicle Driver",8,9,6.58400011062622,43.8933334350586,1,3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125530,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",6.58400011062622,"Yes",8,9,0,1,5,1,"40->44","Male","Self","Full Licence","Yes","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Labourers","Other Labourers","Other Services","Other Services (NEC)","Survey address",6,"$1500-1999 p.w.","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Morning_Peak","Medium",1,0,0,0
8,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125530,"My usual workplace","My Workplace","Work Related","Own Workplace","Point on map",3125520,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",14,9,6.15500020980835,41.033332824707,350,3125530,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125520,"My usual workplace","My Workplace","Work Related","Own Workplace",6.15500020980835,"Yes",14,9,0,350,7,1,"40->44","Male","Self","Full Licence","Yes","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Labourers","Other Labourers","Other Services","Other Services (NEC)","Survey address",6,"$1500-1999 p.w.","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Morning_Peak","Medium",1,0,0,0
14,"My usual workplace","My Workplace","Work Related","Own Workplace",3125520,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3125526,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",14,10,8.55300045013428,51.3180046081543,0,3125520,"My usual workplace","My Workplace","Work Related","Own Workplace",3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",8.55300045013428,"Yes",14,10,0,0,5,1,"40->44","Male","Self","Full Licence","Yes","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Labourers","Other Labourers","Other Services","Other Services (NEC)","Survey address",6,"$1500-1999 p.w.","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Midday","Medium",1,0,0,0
14,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3125530,"No","No","Not Present","Not Present","Present","Yes","Vehicle Driver",14,20,6.58400011062622,19.7520008087158,1,3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125530,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",6.58400011062622,"Yes",14,20,0,1,5,1,"40->44","Male","Self","Full Licence","Yes","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Labourers","Other Labourers","Other Services","Other Services (NEC)","Survey address",6,"$1500-1999 p.w.","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Midday","Medium",1,0,0,0
14,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125530,"My home","Survey Home","At Home","Go home","Home",3125508,"No","No","Not Present","Not Present","Present","Yes","Vehicle Driver",14.1666666666667,9,6.43900012969971,42.9266662597656,50,3125530,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125508,"My home","Survey Home","At Home","Go home",6.43900012969971,"No",14.85,9,0,9,5,1,"40->44","Male","Self","Full Licence","Yes","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Labourers","Other Labourers","Other Services","Other Services (NEC)","Survey address",6,"$1500-1999 p.w.","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Midday","Medium",1,0,0,0
8,"My home","Survey Home","At Home","Go home",3125508,"A primary or secondary school","School","Education","At school","Landmark",3125526,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",14,10,9.50899982452393,57.0539970397949,380,3125508,"My home","Survey Home","At Home","Go home",3125526,"A primary or secondary school","School","Education","At school",9.50899982452393,"Yes",14,10,0,380,6,3,"10->14","Male","Child","No Car Licence","No","No","Yes","No","No","Secondary","No other activity","Secondary School","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"Zero Income","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Morning_Peak","Medium",1,0,0,0
14,"A primary or secondary school","School","Education","At school",3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3125530,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",14,20,6.58400011062622,19.7520008087158,1,3125526,"A primary or secondary school","School","Education","At school",3125530,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",6.58400011062622,"Yes",14,20,0,1,5,3,"10->14","Male","Child","No Car Licence","No","No","Yes","No","No","Secondary","No other activity","Secondary School","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"Zero Income","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Midday","Medium",1,0,0,0
14,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125530,"My home","Survey Home","At Home","Go home","Home",3125508,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",14.1666666666667,9,6.43900012969971,42.9266662597656,50,3125530,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125508,"My home","Survey Home","At Home","Go home",6.43900012969971,"No",14.85,9,0,9,5,3,"10->14","Male","Child","No Car Licence","No","No","Yes","No","No","Secondary","No other activity","Secondary School","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"Zero Income","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Midday","Medium",1,0,0,0
8,"My home","Survey Home","At Home","Go home",3125508,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3125526,"No","No","Present","Not Present","Present","Yes","Vehicle Passenger",8,10,9.50899982452393,57.0539970397949,1,3125508,"My home","Survey Home","At Home","Go home",3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",9.50899982452393,"Yes",8,10,0,1,5,4,"10->14","Female","Child","No Car Licence","No","No","Yes","No","No","Primary","No other activity","Primary School","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"Zero Income","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Morning_Peak","Medium",1,0,0,0
8,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125526,"A primary or secondary school","School","Education","At school","Landmark",3125530,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",14,9,6.58400011062622,43.8933334350586,391,3125526,"A primary or secondary school","School","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125530,"A primary or secondary school","School","Education","At school",6.58400011062622,"Yes",14,9,0,391,6,4,"10->14","Female","Child","No Car Licence","No","No","Yes","No","No","Primary","No other activity","Primary School","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"Zero Income","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Morning_Peak","Medium",1,0,0,0
14,"A primary or secondary school","School","Education","At school",3125530,"My home","Survey Home","At Home","Go home","Home",3125508,"No","No","Present","Not Present","Present","Yes","Vehicle Passenger",14.1666666666667,9,6.43900012969971,42.9266662597656,50,3125530,"A primary or secondary school","School","Education","At school",3125508,"My home","Survey Home","At Home","Go home",6.43900012969971,"No",14.85,9,0,9,6,4,"10->14","Female","Child","No Car Licence","No","No","Yes","No","No","Primary","No other activity","Primary School","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"Zero Income","No",5,5,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",2,2,4,1,0,1,0,0,1,0,3,"Wednesday",3500,3125508,57.27024,1,0.6,0.2,"Midday","Medium",1,0,0,0
10,"My home","Survey Home","At Home","Go home",3125508,"A shop","Shopping Centres","Buy Something","Bought something","Landmark",3130338.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",10,15,7.65299987792969,30.6119976043701,30,3125508,"My home","Survey Home","At Home","Go home",3130327.5,"A shop","Shopping Centres","Buy Something","Bought something",7.65299987792969,"Yes",10,15,0,30,3,1,"65->69","Male","Self","Full Licence","No","No","No","No","No","No Study","Retired","Retired","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"$1000-1249 p.w.","No",2,0,"Couple No Kids","Separate House","Owned (Fully or with mortgage)",1,2,3,1,1,0,0,0,0,0,2,"Friday",2250,3125508,50.07243,0,1,0.5,"Midday","Medium",1,0,0,0
10,"A shop","Shopping Centres","Buy Something","Bought something",3130341,"Somewhere else","Golf Courses, Clubs & Driving Ranges","Recreational","Participated in sport","Landmark",3130338.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",15,15,2.90700006484985,11.6280002593994,240,3130326,"A shop","Shopping Centres","Buy Something","Bought something",3130327.5,"Somewhere else","Golf Courses, Clubs & Driving Ranges","Recreational","Participated in sport",2.90700006484985,"Yes",15,15,0,240,11,1,"65->69","Male","Self","Full Licence","No","No","No","No","No","No Study","Retired","Retired","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"$1000-1249 p.w.","No",2,0,"Couple No Kids","Separate House","Owned (Fully or with mortgage)",1,2,3,1,1,0,0,0,0,0,2,"Friday",2250,3125508,50.07243,0,1,0.5,"Midday","Short",1,0,0,0
15,"Somewhere else","Golf Courses, Clubs & Driving Ranges","Recreational","Participated in sport",3130341,"My home","Survey Home","At Home","Go home","Home",3125508,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",14.1666666666667,20,7.85300016403198,23.5590000152588,50,3130326,"Somewhere else","Golf Courses, Clubs & Driving Ranges","Recreational","Participated in sport",3125508,"My home","Survey Home","At Home","Go home",7.85300016403198,"No",14.6666666666667,20,0,20,11,1,"65->69","Male","Self","Full Licence","No","No","No","No","No","No Study","Retired","Retired","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",3,"$1000-1249 p.w.","No",2,0,"Couple No Kids","Separate House","Owned (Fully or with mortgage)",1,2,3,1,1,0,0,0,0,0,2,"Friday",2250,3125508,50.07243,0,1,0.5,"Midday","Medium",1,0,0,0
