"STOP_STARTHR","STOP_ORIGPLACE1","STOP_ORIGPLACE2","STOP_ORIGPURP1","STOP_ORIGPURP2","STOP_ORIG_SA1_2016","STOP_DESTPLACE1","STOP_DESTPLACE2","STOP_DESTPURP1","STOP_DESTPURP2","STOP_DESTGEO","STOP_DEST_SA1_2016","STOP_NOONE","STOP_SOMEONEELSE","STOP_PERSON1","STOP_PERSON2","STOP_PERSON3","STOP_SOMEONE","STOP_MAINMODE","STOP_DEPHR","STOP_TRAVTIME","STOP_NETWORK_DIST","STOP_AVESPEED","STOP_DURATION","TRIP_ORIG_SA1_2016","TRIP_ORIGPLACE1","TRIP_ORIGPLACE2","TRIP_ORIGPURP1","TRIP_ORIGPURP2","TRIP_DEST_SA1_2016","TRIP_DESTPLACE1","TRIP_DESTPLACE2","TRIP_DESTPURP1","TRIP_DESTPURP2","TRIP_NETWORK_DIST","TRIP_MORETRIPS","TRIP_DEPHR","TRIP_TRAVTIME","TRIP_WAITTIME","TRIP_DURATION","TRIP_OVERALL_PURPOSE","PERS_PERSNO","PERS_AGEGROUP","PERS_SEX","PERS_RELATIONSHIP","PERS_CARLICENCE","PERS_MBLICENCE","PERS_OTHERLICENCE","PERS_NOLICENCE","PERS_CASUALWORK","PERS_ANYWORK","PERS_STUDYING","PERS_ACTIVITIES","PERS_MAINACT","PERS_WORKARR","PERS_ANZSCO1","PERS_ANZSCO2","PERS_ANZSIC1","PERS_ANZSIC2","PERS_STARTPLACE","PERS_NUMSTOPS","PERS_PERSINC","PERS_ADDITIONALTRAVEL","HH_HHSIZE","HH_VISITORS","HH_HHSTRUCTURE","HH_DWELLTYPE","HH_OWNDWELL","HH_ADULTSBIKES","HH_KIDSBIKES","HH_TOTALBIKES","HH_CARS","HH_FOURWDS","HH_UTES","HH_VANS","HH_TRUCKS","HH_MBIKES","HH_OTHERVEHS","HH_TOTALVEHS","HH_TRAVDOW","HH_HHINC","HH_HOME_SA1_2016","HH_HHWGT14","PERS_ADDITIONALTRAVEL_missing","VEH_PER_PERSON","VEH_PER_ADULT","TIME_PERIOD","DIST_CATEGORY","PERS_MRTDOW_missing","TRIP_SPEED","IS_WEEKEND","HAS_LICENSE_AND_CAR"
7,"My home","Survey Home","At Home","Go home",3122809,"My usual workplace","My Workplace","Work Related","Own Workplace","Address",3126231,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",11,10,5.04300022125244,30.257999420166,230,3122809,"My home","Survey Home","At Home","Go home",3126208,"My usual workplace","My Workplace","Work Related","Own Workplace",5.04300022125244,"Yes",11,10,0,230,8,1,"60->64","Male","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Professionals","Business - Human Resource and Marketing Professionals","Other Services","Other Services (NEC)","Survey address",5,"$2000+ p.w.","No",3,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",1,0,1,3,0,0,0,0,0,0,3,"Wednesday",4125,3122809,66.90952,0,1,1,"Morning_Peak","Medium",1,0,0,0
11,"My usual workplace","My Workplace","Work Related","Own Workplace",3126231,"Another place to do work","Other","Work Related","Employers Business","Landmark",3127044,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",12,20,10.5559997558594,31.6679973602295,55,3126208,"My usual workplace","My Workplace","Work Related","Own Workplace",3127044,"Another place to do work","Other","Work Related","Employers Business",10.5559997558594,"Yes",12,20,0,55,7,1,"60->64","Male","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Professionals","Business - Human Resource and Marketing Professionals","Other Services","Other Services (NEC)","Survey address",5,"$2000+ p.w.","No",3,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",1,0,1,3,0,0,0,0,0,0,3,"Wednesday",4125,3122809,66.90952,0,1,1,"Midday","Medium",1,0,0,0
12,"Another place to do work","Other","Work Related","Employers Business",3127044,"My usual workplace","My Workplace","Work Related","Own Workplace","Address",3126231,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",18,20,10.5640001296997,31.6920013427734,315,3127044,"Another place to do work","Other","Work Related","Employers Business",3126208,"My usual workplace","My Workplace","Work Related","Own Workplace",10.5640001296997,"Yes",18,20,0,315,7,1,"60->64","Male","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Professionals","Business - Human Resource and Marketing Professionals","Other Services","Other Services (NEC)","Survey address",5,"$2000+ p.w.","No",3,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",1,0,1,3,0,0,0,0,0,0,3,"Wednesday",4125,3122809,66.90952,0,1,1,"Midday","Medium",1,0,0,0
18,"My usual workplace","My Workplace","Work Related","Own Workplace",3126231,"A shop","Pharmacy","Buy Something","Bought something","Landmark",3122721,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",18,10,4.76300001144409,28.5779991149902,10,3126208,"My usual workplace","My Workplace","Work Related","Own Workplace",3122721,"A shop","Pharmacy","Buy Something","Bought something",4.76300001144409,"Yes",18,10,0,10,3,1,"60->64","Male","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Professionals","Business - Human Resource and Marketing Professionals","Other Services","Other Services (NEC)","Survey address",5,"$2000+ p.w.","No",3,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",1,0,1,3,0,0,0,0,0,0,3,"Wednesday",4125,3122809,66.90952,0,1,1,"Evening_Peak","Short",1,0,0,0
18,"A shop","Pharmacy","Buy Something","Bought something",3122721,"My home","Survey Home","At Home","Go home","Home",3122809,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17.1666666666667,5,0.523000001907349,6.27600002288818,50,3122721,"A shop","Pharmacy","Buy Something","Bought something",3122809,"My home","Survey Home","At Home","Go home",0.523000001907349,"No",17.9166666666667,5,0,5,3,1,"60->64","Male","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Professionals","Business - Human Resource and Marketing Professionals","Other Services","Other Services (NEC)","Survey address",5,"$2000+ p.w.","No",3,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",1,0,1,3,0,0,0,0,0,0,3,"Wednesday",4125,3122809,66.90952,0,1,1,"Evening_Peak","Very_Short",1,0,0,0
7,"My home","Survey Home","At Home","Go home",3122809,"My usual workplace","Shopping Centres","Work Related","Own Workplace","Landmark",3126112,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",19,15,7.66900014877319,30.6759986877441,685,3122809,"My home","Survey Home","At Home","Go home",3126112,"My usual workplace","Shopping Centres","Work Related","Own Workplace",7.66900014877319,"Yes",19,15,0,685,8,3,"30->34","Male","Child","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Managers","Chief Executives - General Managers and Legislators","Accommodation and Food Services","Food and Beverage Services","Survey address",2,"$400-599 p.w.","No",3,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",1,0,1,3,0,0,0,0,0,0,3,"Wednesday",4125,3122809,66.90952,0,1,1,"Morning_Peak","Medium",1,0,0,0
19,"My usual workplace","Shopping Centres","Work Related","Own Workplace",3126112,"My home","Survey Home","At Home","Go home","Home",3122809,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",18.1666666666667,20,7.60099983215332,22.80299949646,50,3126112,"My usual workplace","Shopping Centres","Work Related","Own Workplace",3122809,"My home","Survey Home","At Home","Go home",7.60099983215332,"No",18.6666666666667,20,0,20,8,3,"30->34","Male","Child","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Flexible Hours","Managers","Chief Executives - General Managers and Legislators","Accommodation and Food Services","Food and Beverage Services","Survey address",2,"$400-599 p.w.","No",3,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",1,0,1,3,0,0,0,0,0,0,3,"Wednesday",4125,3122809,66.90952,0,1,1,"Off_Peak","Medium",1,0,0,0
9,"My home","Survey Home","At Home","Go home",3122807,"A shop","Supermarkets","Buy Something","Bought something","Landmark",3122801,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",9,5,0.875,10.5,15,3122807,"My home","Survey Home","At Home","Go home",3122801,"A shop","Supermarkets","Buy Something","Bought something",0.875,"Yes",9,5,0,15,3,1,"75->79","Male","Self","Full Licence","No","No","No","No","No","No Study","Retired","Retired","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",2,"$200-299 p.w.","No",1,0,"Sole Person","Separate House","Owned (Fully or with mortgage)",0,0,0,1,0,0,0,0,0,0,1,"Thursday",250,3122807,86.42301,0,1,1,"Midday","Very_Short",1,0,0,0
9,"A shop","Supermarkets","Buy Something","Bought something",3122801,"My home","Survey Home","At Home","Go home","Home",3122807,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",8.16666666666667,5,0.982999980449677,11.7959995269775,50,3122801,"A shop","Supermarkets","Buy Something","Bought something",3122807,"My home","Survey Home","At Home","Go home",0.982999980449677,"No",8.91666666666667,5,0,5,3,1,"75->79","Male","Self","Full Licence","No","No","No","No","No","No Study","Retired","Retired","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",2,"$200-299 p.w.","No",1,0,"Sole Person","Separate House","Owned (Fully or with mortgage)",0,0,0,1,0,0,0,0,0,0,1,"Thursday",250,3122807,86.42301,0,1,1,"Midday","Very_Short",1,0,0,0
6,"My home","Survey Home","At Home","Go home",3122824,"My usual workplace","My Workplace","Work Related","Own Workplace","Point on map",3130338.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17,60,63.6650009155273,63.6650009155273,570,3122824,"My home","Survey Home","At Home","Go home",3130327.5,"My usual workplace","My Workplace","Work Related","Own Workplace",63.6650009155273,"Yes",17,60,0,570,8,1,"60->64","Male","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Fixed Hours","Managers","Hospitality - Retail and Service Managers","Construction","Heavy and Civil Engineering Construction","Survey address",2,"$1500-1999 p.w.","No",4,0,"Couple With Kids","Separate House","Owned (Fully or with mortgage)",3,0,3,3.5,0,0,0,0,0,0,4,"Monday",3500,3122824,61.17558,0,1,0.875,"Morning_Peak","Very_Long",1,0,0,0
